,Postal Code,Borough,Neighbourhood
0,M3A,North York,Parkwoods
1,M4A,North York,Victoria Village
2,M5A,Downtown Toronto,Regent Park
2,M5A,Downtown Toronto, Harbourfront
3,M6A,North York,Lawrence Manor
3,M6A,North York, Lawrence Heights
4,M7A,Downtown Toronto,Queen's Park
4,M7A,Downtown Toronto, Ontario Provincial Government
5,M9A,Etobicoke,Islington Avenue
5,M9A,Etobicoke, Humber Valley Village
6,M1B,Scarborough,Malvern
6,M1B,Scarborough, Rouge
7,M3B,North York,Don Mills
8,M4B,East York,Parkview Hill
8,M4B,East York, Woodbine Gardens
9,M5B,Downtown Toronto,Garden District
9,M5B,Downtown Toronto, Ryerson
10,M6B,North York,Glencairn
11,M9B,Etobicoke,West Deane Park
11,M9B,Etobicoke, Princess Gardens
11,M9B,Etobicoke, Martin Grove
11,M9B,Etobicoke, Islington
11,M9B,Etobicoke, Cloverdale
12,M1C,Scarborough,Rouge Hill
12,M1C,Scarborough, Port Union
12,M1C,Scarborough, Highland Creek
13,M3C,North York,Don Mills
14,M4C,East York,Woodbine Heights
15,M5C,Downtown Toronto,St. James Town
16,M6C,York,Humewood-Cedarvale
17,M9C,Etobicoke,Eringate
17,M9C,Etobicoke, Bloordale Gardens
17,M9C,Etobicoke, Old Burnhamthorpe
17,M9C,Etobicoke, Markland Wood
18,M1E,Scarborough,Guildwood
18,M1E,Scarborough, Morningside
18,M1E,Scarborough, West Hill
19,M4E,East Toronto,The Beaches
20,M5E,Downtown Toronto,Berczy Park
21,M6E,York,Caledonia-Fairbanks
22,M1G,Scarborough,Woburn
23,M4G,East York,Leaside
24,M5G,Downtown Toronto,Central Bay Street
25,M6G,Downtown Toronto,Christie
26,M1H,Scarborough,Cedarbrae
27,M2H,North York,Hillcrest Village
28,M3H,North York,Bathurst Manor
28,M3H,North York, Wilson Heights
28,M3H,North York, Downsview North
29,M4H,East York,Thorncliffe Park
30,M5H,Downtown Toronto,Richmond
30,M5H,Downtown Toronto, Adelaide
30,M5H,Downtown Toronto, King
31,M6H,West Toronto,Dufferin
31,M6H,West Toronto, Dovercourt Village
32,M1J,Scarborough,Scarborough Village
33,M2J,North York,Fairview
33,M2J,North York, Henry Farm
33,M2J,North York, Oriole
34,M3J,North York,Northwood Park
34,M3J,North York, York University
35,M4J,East York,East Toronto
35,M4J,East York, Broadview North (Old East York)
36,M5J,Downtown Toronto,Harbourfront East
36,M5J,Downtown Toronto, Union Station
36,M5J,Downtown Toronto, Toronto Islands
37,M6J,West Toronto,Little Portugal
37,M6J,West Toronto, Trinity
38,M1K,Scarborough,Kennedy Park
38,M1K,Scarborough, Ionview
38,M1K,Scarborough, East Birchmount Park
39,M2K,North York,Bayview Village
40,M3K,North York,Downsview
41,M4K,East Toronto,The Danforth West
41,M4K,East Toronto, Riverdale
42,M5K,Downtown Toronto,Toronto Dominion Centre
42,M5K,Downtown Toronto, Design Exchange
43,M6K,West Toronto,Brockton
43,M6K,West Toronto, Parkdale Village
43,M6K,West Toronto, Exhibition Place
44,M1L,Scarborough,Golden Mile
44,M1L,Scarborough, Clairlea
44,M1L,Scarborough, Oakridge
45,M2L,North York,York Mills
45,M2L,North York, Silver Hills
46,M3L,North York,Downsview
47,M4L,East Toronto,India Bazaar
47,M4L,East Toronto, The Beaches West
48,M5L,Downtown Toronto,Commerce Court
48,M5L,Downtown Toronto, Victoria Hotel
49,M6L,North York,North Park
49,M6L,North York, Maple Leaf Park
49,M6L,North York, Upwood Park
50,M9L,North York,Humber Summit
51,M1M,Scarborough,Cliffside
51,M1M,Scarborough, Cliffcrest
51,M1M,Scarborough, Scarborough Village West
52,M2M,North York,Willowdale
52,M2M,North York, Newtonbrook
53,M3M,North York,Downsview
54,M4M,East Toronto,Studio District
55,M5M,North York,Bedford Park
55,M5M,North York, Lawrence Manor East
56,M6M,York,Del Ray
56,M6M,York, Mount Dennis
56,M6M,York, Keelsdale and Silverthorn
57,M9M,North York,Humberlea
57,M9M,North York, Emery
58,M1N,Scarborough,Birch Cliff
58,M1N,Scarborough, Cliffside West
59,M2N,North York,Willowdale
59,M2N,North York, Willowdale East
60,M3N,North York,Downsview
61,M4N,Central Toronto,Lawrence Park
62,M5N,Central Toronto,Roselawn
63,M6N,York,Runnymede
63,M6N,York, The Junction North
64,M9N,York,Weston
65,M1P,Scarborough,Dorset Park
65,M1P,Scarborough, Wexford Heights
65,M1P,Scarborough, Scarborough Town Centre
66,M2P,North York,York Mills West
67,M4P,Central Toronto,Davisville North
68,M5P,Central Toronto,Forest Hill North & West
68,M5P,Central Toronto, Forest Hill Road Park
