,Postal Code,Borough,Neighbourhood,n_latitude,n_langitude
0,M3A,North York,Parkwoods,43.6664717,-79.5243136
1,M4A,North York,Victoria Village,43.6664717,-79.5243136
2,M5A,Downtown Toronto,Regent Park,43.6664717,-79.5243136
3,M5A,Downtown Toronto, Harbourfront,43.6664717,-79.5243136
4,M6A,North York,Lawrence Manor,43.6664717,-79.5243136
5,M6A,North York, Lawrence Heights,43.6664717,-79.5243136
6,M7A,Downtown Toronto,Queen's Park,43.6664717,-79.5243136
7,M7A,Downtown Toronto, Ontario Provincial Government,43.6664717,-79.5243136
8,M9A,Etobicoke,Islington Avenue,43.6664717,-79.5243136
9,M9A,Etobicoke, Humber Valley Village,43.6664717,-79.5243136
10,M1B,Scarborough,Malvern,43.6664717,-79.5243136
11,M1B,Scarborough, Rouge,43.6664717,-79.5243136
12,M3B,North York,Don Mills,43.6664717,-79.5243136
13,M4B,East York,Parkview Hill,43.6664717,-79.5243136
14,M4B,East York, Woodbine Gardens,43.6664717,-79.5243136
15,M5B,Downtown Toronto,Garden District,43.6664717,-79.5243136
16,M5B,Downtown Toronto, Ryerson,43.6664717,-79.5243136
17,M6B,North York,Glencairn,43.6664717,-79.5243136
18,M9B,Etobicoke,West Deane Park,43.6664717,-79.5243136
19,M9B,Etobicoke, Princess Gardens,43.6664717,-79.5243136
20,M9B,Etobicoke, Martin Grove,43.6664717,-79.5243136
21,M9B,Etobicoke, Islington,43.6664717,-79.5243136
22,M9B,Etobicoke, Cloverdale,43.6664717,-79.5243136
23,M1C,Scarborough,Rouge Hill,43.6664717,-79.5243136
24,M1C,Scarborough, Port Union,43.6664717,-79.5243136
25,M1C,Scarborough, Highland Creek,43.6664717,-79.5243136
26,M3C,North York,Don Mills,43.6664717,-79.5243136
27,M4C,East York,Woodbine Heights,43.6664717,-79.5243136
28,M5C,Downtown Toronto,St. James Town,43.6664717,-79.5243136
29,M6C,York,Humewood-Cedarvale,43.6664717,-79.5243136
30,M9C,Etobicoke,Eringate,43.6664717,-79.5243136
31,M9C,Etobicoke, Bloordale Gardens,43.6664717,-79.5243136
32,M9C,Etobicoke, Old Burnhamthorpe,43.6664717,-79.5243136
33,M9C,Etobicoke, Markland Wood,43.6664717,-79.5243136
34,M1E,Scarborough,Guildwood,43.6664717,-79.5243136
35,M1E,Scarborough, Morningside,43.6664717,-79.5243136
36,M1E,Scarborough, West Hill,43.6664717,-79.5243136
37,M4E,East Toronto,The Beaches,43.6664717,-79.5243136
38,M5E,Downtown Toronto,Berczy Park,43.6664717,-79.5243136
